설정거리_m,GT거리_mm,frame,마스크IoU,오선택,화면잘림,GT면적px,coarse_R_deg,coarse_t_mm,refined_R_deg,refined_t_mm,RH1_R_deg,RH1_t_mm,RH1_ADD_mm,RH1_KPI
0.30,274.8,frame_0025,0.985,0,1,746769,0.5936,1.2582,1.3557,0.8227,0.5936,0.8227,1.1374,1
0.30,306.6,frame_0026,0.9539,0,1,659047,0.7821,0.5887,1.3754,1.2282,0.7821,1.2282,1.6602,1
0.30,307.9,frame_0027,0.99,0,1,669851,0.6413,3.6658,0.6825,1.1574,0.6413,1.1574,1.7483,1
0.30,301.7,frame_0028,0.9871,0,0,600797,0.7015,3.6275,8.2137,11.1372,0.7015,11.1372,11.3873,0
0.30,270.4,frame_0029,0.9896,0,1,825291,0.105,1.3436,0.8649,1.0867,0.105,1.0867,1.1031,1
0.30,282.2,frame_0030,0.9908,0,1,808268,0.4462,4.6479,1.3928,1.2123,0.4462,1.2123,1.5789,1
0.30,309.0,frame_0031,0.6089,0,1,558342,1.6327,8.7264,0.9828,1.3645,1.6327,1.3645,2.9356,1
0.30,319.7,frame_0032,0.9721,0,1,667864,0.4184,2.9951,0.6286,1.2828,0.4184,1.2828,1.6827,1
0.30,320.6,frame_0033,0.9885,0,1,662754,2.6231,6.1996,0.8553,0.7892,2.6231,0.7892,3.8593,1
0.30,321.5,frame_0034,0.9831,0,1,621967,0.1917,2.3186,1.2482,1.4292,0.1917,1.4292,1.4086,1
0.30,279.1,frame_0035,0.9892,0,1,832889,0.2182,4.7077,1.2206,0.7308,0.2182,0.7308,0.8508,1
0.30,323.0,frame_0036,0.0,1,1,469042,174.7416,380.9946,173.4643,380.3663,174.7416,380.3663,390.6933,0
0.30,273.5,frame_0037,0.9794,0,1,789274,0.4842,3.0278,0.6577,1.0251,0.4842,1.0251,1.3495,1
0.30,304.1,frame_0038,0.9897,0,1,654682,0.2504,2.9501,1.2554,1.6399,0.2504,1.6399,1.6626,1
0.30,309.2,frame_0039,0.9869,0,1,658381,0.5807,2.915,1.4717,1.314,0.5807,1.314,1.4461,1
0.30,317.2,frame_0040,0.9898,0,0,618597,0.7726,4.2393,0.8578,0.8511,0.7726,0.8511,1.4514,1
0.30,309.7,frame_0041,0.9836,0,1,522443,0.5437,4.5096,1.1515,0.8091,0.5437,0.8091,1.2806,1
0.30,326.2,frame_0042,0.9636,0,1,524024,0.8564,4.2446,0.7102,0.9488,0.8564,0.9488,1.4587,1
0.30,281.3,frame_0043,0.9783,0,1,774447,1.8034,3.7032,0.7648,1.5446,1.8034,1.5446,2.9994,1
0.30,296.5,frame_0044,0.9861,0,1,689617,0.6817,5.3845,1.0968,0.8278,0.6817,0.8278,1.324,1
0.30,290.6,frame_0045,0.9863,0,1,629180,0.8055,0.7569,0.953,1.3496,0.8055,1.3496,2.1602,1
0.30,325.7,frame_0046,0.9874,0,0,615393,0.6214,4.1453,0.9765,1.0442,0.6214,1.0442,1.4622,1
0.30,302.6,frame_0047,0.8532,0,1,599112,1.2443,2.1317,0.458,0.5394,1.2443,0.5394,1.8525,1
0.30,326.4,frame_0048,0.9875,0,1,619557,0.2723,2.9952,1.6429,0.9227,0.2723,0.9227,1.1366,1
0.30,324.1,frame_0049,0.9517,0,1,591422,0.4535,2.1788,1.4355,1.255,0.4535,1.255,1.4896,1
0.40,388.5,frame_0000,0.9863,0,0,415579,0.4822,3.065,1.8533,1.3226,0.4822,1.3226,1.7599,1
0.40,387.0,frame_0001,0.9901,0,0,463642,0.2092,2.1761,1.036,0.5432,0.2092,0.5432,0.6099,1
0.40,408.1,frame_0002,0.9888,0,0,374239,0.6029,2.3405,1.1989,0.9973,0.6029,0.9973,1.6454,1
0.40,421.4,frame_0003,0.9477,0,0,321121,0.5715,3.9584,1.4642,1.2793,0.5715,1.2793,1.7219,1
0.40,422.7,frame_0004,0.9882,0,0,355158,0.1905,1.6229,1.2688,1.6256,0.1905,1.6256,1.5365,1
0.40,381.6,frame_0005,0.9819,0,0,252692,0.7022,5.2294,1.2801,1.7226,0.7022,1.7226,2.0253,1
0.40,396.9,frame_0006,0.9902,0,0,404357,0.4696,3.3869,1.0639,1.3329,0.4696,1.3329,1.7394,1
0.40,405.7,frame_0007,0.9816,0,1,437652,0.6591,1.515,1.6242,1.1752,0.6591,1.1752,1.6362,1
0.40,378.1,frame_0008,0.988,0,0,391725,0.2028,2.2663,1.2207,0.7247,0.2028,0.7247,0.7782,1
0.40,422.9,frame_0009,0.9893,0,0,350066,0.8698,0.7981,0.9061,0.892,0.8698,0.892,1.699,1
0.40,421.8,frame_0010,0.9888,0,0,360190,0.3388,0.8558,1.2467,1.1845,0.3388,1.1845,1.4002,1
0.40,393.9,frame_0011,0.9886,0,0,410548,0.4248,0.2321,1.1207,1.4252,0.4248,1.4252,1.4209,1
0.40,392.8,frame_0012,0.9874,0,0,394827,0.5928,2.7341,0.205,1.3747,0.5928,1.3747,1.5193,1
0.40,402.7,frame_0013,0.9889,0,0,367094,0.6175,2.6431,0.5363,1.1271,0.6175,1.1271,1.5352,1
0.40,410.4,frame_0014,0.9882,0,0,375536,0.3212,2.3151,0.6114,1.7148,0.3212,1.7148,1.8335,1
0.40,396.6,frame_0015,0.0001,1,0,411022,1.2812,2.6137,1.9159,1.7,1.2812,1.7,2.8115,1
0.40,371.9,frame_0016,0.0,1,1,400507,149.5134,384.8781,145.3723,363.3757,149.5134,363.3757,396.4355,0
0.40,401.9,frame_0017,0.9886,0,0,391885,0.3969,1.2358,0.8925,1.5314,0.3969,1.5314,1.925,1
0.40,413.4,frame_0018,0.9894,0,0,356846,0.5059,1.0607,0.1989,1.254,0.5059,1.254,1.4167,1
0.40,394.4,frame_0019,0.9888,0,0,396890,0.5054,3.6596,1.0451,1.2546,0.5054,1.2546,1.7277,1
0.40,385.5,frame_0020,0.9735,0,0,446502,0.4122,2.6243,0.831,1.3258,0.4122,1.3258,1.6099,1
0.40,371.6,frame_0021,0.9835,0,0,404798,0.6116,3.5718,1.446,1.0526,0.6116,1.0526,1.4543,1
0.40,383.9,frame_0022,0.9337,0,0,387729,0.2735,1.7036,1.4645,0.637,0.2735,0.637,0.7988,1
0.40,429.6,frame_0023,0.9893,0,0,334729,0.9331,1.819,1.17,1.19,0.9331,1.19,2.1044,1
0.40,378.9,frame_0024,0.0,1,0,364049,110.0355,504.0969,108.2167,509.921,110.0355,509.921,522.9973,0
0.40,419.5,frame_0025,0.9813,0,0,217191,0.4172,2.3733,1.192,1.0357,0.4172,1.0357,1.3172,1
